 select hdr.[year], pos.RegArea, hal.frklen, hal.bbage, hal.srfage
from stlHeader hdr, stlHalibut hal, stlStationPositions pos
where hdr.[year] between 1998 and 2011 and hdr.stlkey = hal.stlkey and STR(hdr.stnno,4,0) = pos.Station and
      hdr.[year] = pos.[Year] and hdr.prpcde IN ('SG','ES','BG','DE','SE') and
      (hal.srfage IS NOT NULL or hal.bbage IS NOT NULL)

	
year,area,length,bbage,srfage
1998,3A,85,NULL,10
1998,3A,97,17,15
1998,3A,76,NULL,11
1998,4B,86,NULL,9
1998,4B,107,NULL,11
1998,4B,99,NULL,11
1998,4B,157,NULL,22
1998,4B,128,22,21
1998,4B,119,29,29
1998,4B,85,NULL,11
1998,4B,99,NULL,11
1998,4B,106,24,24
1998,4B,84,NULL,10
1998,4B,90,NULL,13
1998,4B,93,NULL,10
1998,4B,91,NULL,18
1998,4B,121,28,23
1998,4B,87,NULL,11
1998,4B,108,NULL,18
1998,4B,87,NULL,11
1998,4B,144,NULL,18
1998,4B,110,NULL,11
1998,4B,102,NULL,14
1998,4B,107,21,20
1998,4B,80,NULL,10
1998,4B,107,22,22
1998,4B,106,21,21
1998,4B,167,26,26
1998,4B,95,NULL,18
1998,4B,96,22,19
1998,4B,91,NULL,14
1998,4B,81,NULL,8
1998,4B,124,NULL,19
1998,4B,78,NULL,9
1998,4B,79,NULL,9
1998,4B,108,NULL,12
1998,4B,83,NULL,11
1998,4B,97,NULL,11
1998,4B,101,NULL,15
1998,4B,83,NULL,10
1998,4B,91,NULL,10
1998,4B,87,NULL,10
1998,4B,105,NULL,17
1998,4B,158,NULL,20
1998,4B,111,NULL,17
1998,4B,118,21,19
1998,4B,110,33,27
1998,4B,77,NULL,8
1998,4B,86,NULL,8
1998,4B,162,21,20
1998,4B,149,NULL,17
1998,4B,171,36,26
1998,4B,168,27,26
1998,4B,131,NULL,19
1998,4B,87,NULL,13
1998,4B,105,NULL,14
1998,4B,124,26,23
1998,4B,153,24,22
1998,4B,165,NULL,17
1998,4B,82,NULL,8
1998,4B,149,NULL,19
1998,4B,99,NULL,15
1998,4B,120,NULL,13
1998,4B,129,NULL,18
1998,4B,104,NULL,17
1998,4B,94,NULL,18
1998,4B,98,NULL,10
1998,4B,123,30,21
1998,4B,148,NULL,20
1998,4B,112,23,20
1998,4B,107,NULL,16
1998,4B,163,NULL,16
1998,4B,110,NULL,17
1998,4B,149,NULL,16
1998,4B,106,23,22
1998,4B,96,NULL,21
1998,4B,104,NULL,16
1998,4B,92,NULL,12
1998,4B,98,NULL,15
1998,4B,110,21,20
1998,4B,89,NULL,12
1998,4B,109,23,20
1998,4B,165,31,25
1998,4B,90,NULL,9
1998,4B,91,NULL,10
1998,4B,106,19,19
1998,4B,97,NULL,14
1998,4B,93,NULL,11
1998,4B,86,NULL,9
1998,4B,77,NULL,7
1998,4B,84,NULL,9
1998,4B,111,NULL,14
1998,4B,121,NULL,15
1998,4B,97,NULL,13
1998,4B,81,NULL,9
1998,4B,128,NULL,15
1998,4B,99,NULL,12
1998,4B,93,NULL,11
1998,4B,97,NULL,10
1998,4B,99,NULL,20
1998,4B,98,NULL,17
1998,4B,90,NULL,12
1998,4B,108,NULL,15
1998,4B,88,NULL,11
1998,4B,87,NULL,11
1998,4B,61,NULL,5
1998,4B,65,NULL,6
1998,4B,155,NULL,15
1998,4B,100,NULL,14
1998,4B,108,NULL,19
1998,4B,128,NULL,20
1998,4B,108,18,19
1998,4B,112,NULL,17
1998,4B,80,NULL,12
1998,4B,82,NULL,11
1998,4B,62,NULL,6
1998,4B,96,20,19
1998,4B,95,NULL,15
1998,4B,90,NULL,13
1998,4B,96,NULL,12
1998,4B,135,NULL,22
1998,4B,135,NULL,22
1998,4B,120,31,20
1998,4B,120,24,22
1998,4B,107,NULL,12
1998,4B,119,NULL,18
1998,4B,106,NULL,10
1998,4B,116,19,19
1998,4B,120,19,19
1998,4B,139,NULL,18
1998,4B,121,NULL,16
1998,4B,110,NULL,14
1998,4B,108,NULL,17
1998,4B,119,22,21
1998,4B,145,46,34
1998,4B,108,NULL,15
1998,4B,121,NULL,20
1998,4B,114,NULL,14
1998,4B,130,NULL,15
1998,4B,114,NULL,15
1998,4B,111,NULL,12
1998,4B,100,NULL,15
1998,4B,115,20,18
1998,4B,107,NULL,18
1998,4B,135,25,25
1998,4B,145,24,24
1998,4B,109,NULL,20
1998,4B,111,21,21
1998,4B,98,NULL,12
1998,4B,171,NULL,16
1998,4B,110,24,19
1998,4B,151,NULL,19
1998,4B,182,NULL,18
